Valores simples de edad	Sexo	Periodo	Total
21 años	Ambos sexos	1 de julio de 2010	501.194,714769
21 años	Ambos sexos	1 de enero de 2010	508.399,239769
21 años	Ambos sexos	1 de julio de 2009	515.262,550334
21 años	Ambos sexos	1 de enero de 2009	521.792,811926
21 años	Ambos sexos	1 de julio de 2008	528.110,508136
21 años	Ambos sexos	1 de enero de 2008	531.805,720515
21 años	Ambos sexos	1 de julio de 2007	534.812,725871
21 años	Ambos sexos	1 de enero de 2007	535.670,903835
21 años	Ambos sexos	1 de julio de 2006	539.602,131663
21 años	Ambos sexos	1 de enero de 2006	545.161,86388
21 años	Ambos sexos	1 de julio de 2005	551.075,268145
21 años	Ambos sexos	1 de enero de 2005	554.207,981459
21 años	Ambos sexos	1 de julio de 2004	563.731,499227
21 años	Ambos sexos	1 de enero de 2004	576.966,251645
21 años	Ambos sexos	1 de julio de 2003	586.202,868523
21 años	Ambos sexos	1 de enero de 2003	594.196,292494
21 años	Ambos sexos	1 de julio de 2002	603.353,491954
21 años	Ambos sexos	1 de enero de 2002	611.067,571735
21 años	Ambos sexos	1 de julio de 2001	617.668,5
21 años	Ambos sexos	1 de enero de 2001	628.538
21 años	Ambos sexos	1 de julio de 2000	645.838,125
21 años	Ambos sexos	1 de enero de 2000	662.931,34375
21 años	Ambos sexos	1 de julio de 1999	668.355,25
21 años	Ambos sexos	1 de enero de 1999	673.610,21875
21 años	Ambos sexos	1 de julio de 1998	683.271,375
21 años	Ambos sexos	1 de enero de 1998	693.176,78125
21 años	Ambos sexos	1 de julio de 1997	692.828,484375
21 años	Ambos sexos	1 de enero de 1997	692.644,140625
21 años	Ambos sexos	1 de julio de 1996	689.392
21 años	Ambos sexos	1 de enero de 1996	686.053,921875
21 años	Ambos sexos	1 de julio de 1995	679.722,3125
21 años	Ambos sexos	1 de enero de 1995	673.601,671875
21 años	Ambos sexos	1 de julio de 1994	674.099,4375
21 años	Ambos sexos	1 de enero de 1994	674.877,890625
21 años	Ambos sexos	1 de julio de 1993	669.158,953125
21 años	Ambos sexos	1 de enero de 1993	663.394,09375
21 años	Ambos sexos	1 de julio de 1992	659.597,4375
21 años	Ambos sexos	1 de enero de 1992	655.858,015625
21 años	Ambos sexos	1 de julio de 1991	650.882,3125
21 años	Ambos sexos	1 de enero de 1991	646.212,144085
21 años	Ambos sexos	1 de julio de 1990	645.020,204861
21 años	Ambos sexos	1 de enero de 1990	643.911,458412
21 años	Ambos sexos	1 de julio de 1989	649.525,706308
21 años	Ambos sexos	1 de enero de 1989	655.538,22792
21 años	Ambos sexos	1 de julio de 1988	653.720,396347
21 años	Ambos sexos	1 de enero de 1988	652.757,665907
21 años	Ambos sexos	1 de julio de 1987	652.922,913664
21 años	Ambos sexos	1 de enero de 1987	652.656,547211
21 años	Ambos sexos	1 de julio de 1986	659.575,714506
21 años	Ambos sexos	1 de enero de 1986	666.807,620715
21 años	Ambos sexos	1 de julio de 1985	655.181,095188
21 años	Ambos sexos	1 de enero de 1985	643.533,95493
21 años	Ambos sexos	1 de julio de 1984	634.338,966722
21 años	Ambos sexos	1 de enero de 1984	625.026,878813
21 años	Ambos sexos	1 de julio de 1983	619.986,133474
21 años	Ambos sexos	1 de enero de 1983	614.682,585249
21 años	Ambos sexos	1 de julio de 1982	615.514,138168
21 años	Ambos sexos	1 de enero de 1982	615.711,184816
21 años	Ambos sexos	1 de julio de 1981	607.594,046489
21 años	Ambos sexos	1 de enero de 1981	599.421,552737
21 años	Ambos sexos	1 de julio de 1980	597.543,545533
21 años	Ambos sexos	1 de enero de 1980	595.843,296954
21 años	Ambos sexos	1 de julio de 1979	590.015,938655
21 años	Ambos sexos	1 de enero de 1979	584.203,502925
21 años	Ambos sexos	1 de julio de 1978	566.141,502704
21 años	Ambos sexos	1 de enero de 1978	548.203,765048
21 años	Ambos sexos	1 de julio de 1977	544.520,003969
21 años	Ambos sexos	1 de enero de 1977	541.276,425937
21 años	Ambos sexos	1 de julio de 1976	531.949,868426
21 años	Ambos sexos	1 de enero de 1976	522.627,135336
21 años	Ambos sexos	1 de julio de 1975	525.963,546141
21 años	Ambos sexos	1 de enero de 1975	529.542,361092
21 años	Ambos sexos	1 de julio de 1974	534.675,422489
21 años	Ambos sexos	1 de enero de 1974	539.976,017306
21 años	Ambos sexos	1 de julio de 1973	523.080,982787
21 años	Ambos sexos	1 de enero de 1973	505.505,628497
21 años	Ambos sexos	1 de julio de 1972	509.075,949846
21 años	Ambos sexos	1 de enero de 1972	513.009,470797
21 años	Ambos sexos	1 de julio de 1971	514.715,246613
21 años	Ambos sexos	1 de enero de 1971	515.729,56
21 años	Hombres	1 de julio de 2022	257.147,816333
21 años	Hombres	1 de enero de 2022	255.248,712729
21 años	Hombres	1 de julio de 2021	250.012,242646
21 años	Hombres	1 de enero de 2021	246.430,772554
21 años	Hombres	1 de julio de 2020	243.072,132722
21 años	Hombres	1 de enero de 2020	239.384,492949
21 años	Hombres	1 de julio de 2019	236.336,096127
21 años	Hombres	1 de enero de 2019	233.782,699211
21 años	Hombres	1 de julio de 2018	229.720,583223
21 años	Hombres	1 de enero de 2018	226.648,46725
21 años	Hombres	1 de julio de 2017	224.773,194384
21 años	Hombres	1 de enero de 2017	223.813,921543
21 años	Hombres	1 de julio de 2016	224.128,584366
21 años	Hombres	1 de enero de 2016	224.973,663399
21 años	Hombres	1 de julio de 2015	228.507,769342
21 años	Hombres	1 de enero de 2015	232.431,512155
21 años	Hombres	1 de julio de 2014	235.957,687113
21 años	Hombres	1 de enero de 2014	240.004,617265
21 años	Hombres	1 de julio de 2013	240.644,858149
21 años	Hombres	1 de enero de 2013	241.896,060084
21 años	Hombres	1 de julio de 2012	243.988,680279
21 años	Hombres	1 de enero de 2012	245.979,501241
21 años	Hombres	1 de julio de 2011	249.241,852751
21 años	Hombres	1 de enero de 2011	252.781,026768
21 años	Hombres	1 de julio de 2010	255.698,65817
21 años	Hombres	1 de enero de 2010	259.245,437626
21 años	Hombres	1 de julio de 2009	263.089,556876
21 años	Hombres	1 de enero de 2009	266.725,010083
21 años	Hombres	1 de julio de 2008	270.053,707092
21 años	Hombres	1 de enero de 2008	271.671,621948
21 años	Hombres	1 de julio de 2007	273.383,981424
21 años	Hombres	1 de enero de 2007	273.761,987718
21 años	Hombres	1 de julio de 2006	275.939,00838
21 años	Hombres	1 de enero de 2006	278.960,474943
21 años	Hombres	1 de julio de 2005	282.283,750936
21 años	Hombres	1 de enero de 2005	283.492,316246
21 años	Hombres	1 de julio de 2004	288.117,569529
21 años	Hombres	1 de enero de 2004	295.015,109661
21 años	Hombres	1 de julio de 2003	300.209,630024
21 años	Hombres	1 de enero de 2003	304.799,677724
21 años	Hombres	1 de julio de 2002	309.045,179898
21 años	Hombres	1 de enero de 2002	312.282,457881
21 años	Hombres	1 de julio de 2001	315.576,8125
21 años	Hombres	1 de enero de 2001	321.219,828125
21 años	Hombres	1 de julio de 2000	330.472,75
21 años	Hombres	1 de enero de 2000	339.615,140625
21 años	Hombres	1 de julio de 1999	342.525,421875
21 años	Hombres	1 de enero de 1999	345.336,78125
21 años	Hombres	1 de julio de 1998	349.722
21 años	Hombres	1 de enero de 1998	354.226,78125
21 años	Hombres	1 de julio de 1997	354.273,109375
21 años	Hombres	1 de enero de 1997	354.387,265625
21 años	Hombres	1 de julio de 1996	352.183,5
21 años	Hombres	1 de enero de 1996	349.922,734375
21 años	Hombres	1 de julio de 1995	346.895,375
21 años	Hombres	1 de enero de 1995	343.971,421875
21 años	Hombres	1 de julio de 1994	344.606,09375
21 años	Hombres	1 de enero de 1994	345.455,15625
21 años	Hombres	1 de julio de 1993	342.726,453125
21 años	Hombres	1 de enero de 1993	340.006,421875
21 años	Hombres	1 de julio de 1992	337.693,8125
21 años	Hombres	1 de enero de 1992	335.354,1875
21 años	Hombres	1 de julio de 1991	332.575,828125
21 años	Hombres	1 de enero de 1991	329.967,121737
21 años	Hombres	1 de julio de 1990	329.299,390435
21 años	Hombres	1 de enero de 1990	328.641,764335
21 años	Hombres	1 de julio de 1989	331.322,433703
21 años	Hombres	1 de enero de 1989	334.280,022425
21 años	Hombres	1 de julio de 1988	333.525,822465
21 años	Hombres	1 de enero de 1988	333.166,526355
21 años	Hombres	1 de julio de 1987	333.098,704173
21 años	Hombres	1 de enero de 1987	332.851,714045
21 años	Hombres	1 de julio de 1986	335.900,791084
21 años	Hombres	1 de enero de 1986	339.047,107689
21 años	Hombres	1 de julio de 1985	333.522,893752
21 años	Hombres	1 de enero de 1985	327.957,165843
21 años	Hombres	1 de julio de 1984	323.059,729895
21 años	Hombres	1 de enero de 1984	318.155,125865
21 años	Hombres	1 de julio de 1983	315.207,229446
21 años	Hombres	1 de enero de 1983	312.057,692208
21 años	Hombres	1 de julio de 1982	309.222,767067
21 años	Hombres	1 de enero de 1982	305.708,653367
21 años	Hombres	1 de julio de 1981	303.307,371774
21 años	Hombres	1 de enero de 1981	301.159,456704
21 años	Hombres	1 de julio de 1980	301.868,0491
21 años	Hombres	1 de enero de 1980	302.565,054472
21 años	Hombres	1 de julio de 1979	299.445,75023
21 años	Hombres	1 de enero de 1979	296.268,577016
21 años	Hombres	1 de julio de 1978	286.755,404046
21 años	Hombres	1 de enero de 1978	277.342,634757
21 años	Hombres	1 de julio de 1977	275.507,854416
21 años	Hombres	1 de enero de 1977	273.810,737082
21 años	Hombres	1 de julio de 1976	268.180,931497
21 años	Hombres	1 de enero de 1976	262.573,517621
21 años	Hombres	1 de julio de 1975	265.103,465821
21 años	Hombres	1 de enero de 1975	267.607,365001
21 años	Hombres	1 de julio de 1974	270.500,705656
21 años	Hombres	1 de enero de 1974	273.604,529176
21 años	Hombres	1 de julio de 1973	265.350,117542
21 años	Hombres	1 de enero de 1973	256.764,510734
21 años	Hombres	1 de julio de 1972	258.261,650689
21 años	Hombres	1 de enero de 1972	259.956,042252
21 años	Hombres	1 de julio de 1971	259.881,183321
21 años	Hombres	1 de enero de 1971	259.389,69
21 años	Mujeres	1 de julio de 2022	239.625,442243
21 años	Mujeres	1 de enero de 2022	236.480,576874
21 años	Mujeres	1 de julio de 2021	233.723,38478
21 años	Mujeres	1 de enero de 2021	232.804,192799
21 años	Mujeres	1 de julio de 2020	228.747,939139
21 años	Mujeres	1 de enero de 2020	224.198,685362
21 años	Mujeres	1 de julio de 2019	223.441,665869
21 años	Mujeres	1 de enero de 2019	223.202,646292
21 años	Mujeres	1 de julio de 2018	220.001,069939
21 años	Mujeres	1 de enero de 2018	217.646,493699
21 años	Mujeres	1 de julio de 2017	214.607,168467
21 años	Mujeres	1 de enero de 2017	212.636,843177
21 años	Mujeres	1 de julio de 2016	212.962,665959
21 años	Mujeres	1 de enero de 2016	213.901,65105
21 años	Mujeres	1 de julio de 2015	217.572,057618
21 años	Mujeres	1 de enero de 2015	221.930,171537
21 años	Mujeres	1 de julio de 2014	225.681,05654
21 años	Mujeres	1 de enero de 2014	230.136,135889
21 años	Mujeres	1 de julio de 2013	230.148,45677
21 años	Mujeres	1 de enero de 2013	230.924,466766
21 años	Mujeres	1 de julio de 2012	233.399,692588
21 años	Mujeres	1 de enero de 2012	236.040,084452
21 años	Mujeres	1 de julio de 2011	238.919,041933
21 años	Mujeres	1 de enero de 2011	242.247,355094
21 años	Mujeres	1 de julio de 2010	245.496,056599
21 años	Mujeres	1 de enero de 2010	249.153,802143
21 años	Mujeres	1 de julio de 2009	252.172,993458
21 años	Mujeres	1 de enero de 2009	255.067,801843
21 años	Mujeres	1 de julio de 2008	258.056,801044
21 años	Mujeres	1 de enero de 2008	260.134,098567
21 años	Mujeres	1 de julio de 2007	261.428,744447
21 años	Mujeres	1 de enero de 2007	261.908,916117
21 años	Mujeres	1 de julio de 2006	263.663,123283
21 años	Mujeres	1 de enero de 2006	266.201,388937
21 años	Mujeres	1 de julio de 2005	268.791,517209
21 años	Mujeres	1 de enero de 2005	270.715,665213
21 años	Mujeres	1 de julio de 2004	275.613,929698
21 años	Mujeres	1 de enero de 2004	281.951,141984
21 años	Mujeres	1 de julio de 2003	285.993,238499
21 años	Mujeres	1 de enero de 2003	289.396,61477
21 años	Mujeres	1 de julio de 2002	294.308,312056
21 años	Mujeres	1 de enero de 2002	298.785,113854
21 años	Mujeres	1 de julio de 2001	302.091,6875
21 años	Mujeres	1 de enero de 2001	307.318,171875
21 años	Mujeres	1 de julio de 2000	315.365,375
21 años	Mujeres	1 de enero de 2000	323.316,203125
21 años	Mujeres	1 de julio de 1999	325.829,828125
21 años	Mujeres	1 de enero de 1999	328.273,4375
21 años	Mujeres	1 de julio de 1998	333.549,375
21 años	Mujeres	1 de enero de 1998	338.950
21 años	Mujeres	1 de julio de 1997	338.555,375
21 años	Mujeres	1 de enero de 1997	338.256,875
21 años	Mujeres	1 de julio de 1996	337.208,5
21 años	Mujeres	1 de enero de 1996	336.131,1875
21 años	Mujeres	1 de julio de 1995	332.826,9375
21 años	Mujeres	1 de enero de 1995	329.630,25
21 años	Mujeres	1 de julio de 1994	329.493,34375
21 años	Mujeres	1 de enero de 1994	329.422,734375
21 años	Mujeres	1 de julio de 1993	326.432,5
21 años	Mujeres	1 de enero de 1993	323.387,671875
21 años	Mujeres	1 de julio de 1992	321.903,625
21 años	Mujeres	1 de enero de 1992	320.503,828125
21 años	Mujeres	1 de julio de 1991	318.306,484375
21 años	Mujeres	1 de enero de 1991	316.245,022348
21 años	Mujeres	1 de julio de 1990	315.720,814426
21 años	Mujeres	1 de enero de 1990	315.269,694077
21 años	Mujeres	1 de julio de 1989	318.203,272605
21 años	Mujeres	1 de enero de 1989	321.258,205495
21 años	Mujeres	1 de julio de 1988	320.194,573882
21 años	Mujeres	1 de enero de 1988	319.591,139552
21 años	Mujeres	1 de julio de 1987	319.824,209491
21 años	Mujeres	1 de enero de 1987	319.804,833166
21 años	Mujeres	1 de julio de 1986	323.674,923422
21 años	Mujeres	1 de enero de 1986	327.760,513026
21 años	Mujeres	1 de julio de 1985	321.658,201436
21 años	Mujeres	1 de enero de 1985	315.576,789087
21 años	Mujeres	1 de julio de 1984	311.279,236827
21 años	Mujeres	1 de enero de 1984	306.871,752948
21 años	Mujeres	1 de julio de 1983	304.778,904028
21 años	Mujeres	1 de enero de 1983	302.624,893041
21 años	Mujeres	1 de julio de 1982	306.291,371101
21 años	Mujeres	1 de enero de 1982	310.002,531449
21 años	Mujeres	1 de julio de 1981	304.286,674715
21 años	Mujeres	1 de enero de 1981	298.262,096033
21 años	Mujeres	1 de julio de 1980	295.675,496433
21 años	Mujeres	1 de enero de 1980	293.278,242482
21 años	Mujeres	1 de julio de 1979	290.570,188425
21 años	Mujeres	1 de enero de 1979	287.934,925909
21 años	Mujeres	1 de julio de 1978	279.386,098658
21 años	Mujeres	1 de enero de 1978	270.861,130291
21 años	Mujeres	1 de julio de 1977	269.012,149553
21 años	Mujeres	1 de enero de 1977	267.465,688855
21 años	Mujeres	1 de julio de 1976	263.768,936929
21 años	Mujeres	1 de enero de 1976	260.053,617715
21 años	Mujeres	1 de julio de 1975	260.860,08032
21 años	Mujeres	1 de enero de 1975	261.934,996091
21 años	Mujeres	1 de julio de 1974	264.174,716833
21 años	Mujeres	1 de enero de 1974	266.371,48813
21 años	Mujeres	1 de julio de 1973	257.730,865245
21 años	Mujeres	1 de enero de 1973	248.741,117763
21 años	Mujeres	1 de julio de 1972	250.814,299157
21 años	Mujeres	1 de enero de 1972	253.053,428545
21 años	Mujeres	1 de julio de 1971	254.834,063292
21 años	Mujeres	1 de enero de 1971	256.339,87
22 años	Ambos sexos	1 de julio de 2022	496.385,627429
22 años	Ambos sexos	1 de enero de 2022	485.836,965353
22 años	Ambos sexos	1 de julio de 2021	476.503,071867
22 años	Ambos sexos	1 de enero de 2021	470.814,178311
22 años	Ambos sexos	1 de julio de 2020	471.342,761996
22 años	Ambos sexos	1 de enero de 2020	471.089,345503
22 años	Ambos sexos	1 de julio de 2019	462.961,153134
22 años	Ambos sexos	1 de enero de 2019	456.131,960949
22 años	Ambos sexos	1 de julio de 2018	449.539,862836
22 años	Ambos sexos	1 de enero de 2018	445.249,76472
22 años	Ambos sexos	1 de julio de 2017	443.404,752831
22 años	Ambos sexos	1 de enero de 2017	444.001,740934
22 años	Ambos sexos	1 de julio de 2016	450.163,512464
22 años	Ambos sexos	1 de enero de 2016	457.814,648342
22 años	Ambos sexos	1 de julio de 2015	464.476,741939
22 años	Ambos sexos	1 de enero de 2015	472.175,378535
22 años	Ambos sexos	1 de julio de 2014	471.278,746646
22 años	Ambos sexos	1 de enero de 2014	471.979,947228
22 años	Ambos sexos	1 de julio de 2013	477.166,441025
22 años	Ambos sexos	1 de enero de 2013	483.688,191452
22 años	Ambos sexos	1 de julio de 2012	491.318,26448
22 años	Ambos sexos	1 de enero de 2012	499.445,104879
22 años	Ambos sexos	1 de julio de 2011	505.684,886567
22 años	Ambos sexos	1 de enero de 2011	512.590,970649
22 años	Ambos sexos	1 de julio de 2010	519.085,319312
22 años	Ambos sexos	1 de enero de 2010	526.664,970591
22 años	Ambos sexos	1 de julio de 2009	536.219,274811
22 años	Ambos sexos	1 de enero de 2009	545.265,024967
22 años	Ambos sexos	1 de julio de 2008	554.321,469202
22 años	Ambos sexos	1 de enero de 2008	560.746,173847
22 años	Ambos sexos	1 de julio de 2007	564.324,178737
22 años	Ambos sexos	1 de enero de 2007	565.834,254485
22 años	Ambos sexos	1 de julio de 2006	568.268,738884
22 años	Ambos sexos	1 de enero de 2006	572.865,435356
22 años	Ambos sexos	1 de julio de 2005	586.609,860538
22 años	Ambos sexos	1 de enero de 2005	596.798,894402
22 años	Ambos sexos	1 de julio de 2004	602.288,225163
22 años	Ambos sexos	1 de enero de 2004	612.446,486634
22 años	Ambos sexos	1 de julio de 2003	622.944,481564
22 años	Ambos sexos	1 de enero de 2003	632.142,008335
22 años	Ambos sexos	1 de julio de 2002	634.994,711582
22 años	Ambos sexos	1 de enero de 2002	636.434,656906
22 años	Ambos sexos	1 de julio de 2001	649.224,53125
22 años	Ambos sexos	1 de enero de 2001	666.509,15625
22 años	Ambos sexos	1 de julio de 2000	672.055
22 años	Ambos sexos	1 de enero de 2000	677.452,90625
22 años	Ambos sexos	1 de julio de 1999	686.910,3125
22 años	Ambos sexos	1 de enero de 1999	696.560,96875
22 años	Ambos sexos	1 de julio de 1998	696.051,71875
22 años	Ambos sexos	1 de enero de 1998	695.720,421875
22 años	Ambos sexos	1 de julio de 1997	692.502,71875
22 años	Ambos sexos	1 de enero de 1997	689.206,078125
22 años	Ambos sexos	1 de julio de 1996	682.667
22 años	Ambos sexos	1 de enero de 1996	676.321,890625
22 años	Ambos sexos	1 de julio de 1995	676.572,46875
22 años	Ambos sexos	1 de enero de 1995	677.066,734375
22 años	Ambos sexos	1 de julio de 1994	671.371,21875
22 años	Ambos sexos	1 de enero de 1994	665.630,78125
22 años	Ambos sexos	1 de julio de 1993	661.755,390625
22 años	Ambos sexos	1 de enero de 1993	657.928,234375
22 años	Ambos sexos	1 de julio de 1992	653.071,75
22 años	Ambos sexos	1 de enero de 1992	648.039,546875
22 años	Ambos sexos	1 de julio de 1991	645.156,4375
22 años	Ambos sexos	1 de enero de 1991	642.789,208342
22 años	Ambos sexos	1 de julio de 1990	648.008,682523
22 años	Ambos sexos	1 de enero de 1990	653.565,43042
22 años	Ambos sexos	1 de julio de 1989	650.924,497717
22 años	Ambos sexos	1 de enero de 1989	649.101,666147
22 años	Ambos sexos	1 de julio de 1988	649.676,028119
22 años	Ambos sexos	1 de enero de 1988	649.818,775881
22 años	Ambos sexos	1 de julio de 1987	656.466,704256
22 años	Ambos sexos	1 de enero de 1987	663.379,371545
22 años	Ambos sexos	1 de julio de 1986	651.740,960743
22 años	Ambos sexos	1 de enero de 1986	640.100,93521
22 años	Ambos sexos	1 de julio de 1985	630.984,546712
22 años	Ambos sexos	1 de enero de 1985	621.768,058513
22 años	Ambos sexos	1 de julio de 1984	616.935,116064
22 años	Ambos sexos	1 de enero de 1984	611.860,370729
22 años	Ambos sexos	1 de julio de 1983	613.306,929918
22 años	Ambos sexos	1 de enero de 1983	614.123,982836
22 años	Ambos sexos	1 de julio de 1982	606.091,903749
22 años	Ambos sexos	1 de enero de 1982	597.929,765416
22 años	Ambos sexos	1 de julio de 1981	595.848,974312
22 años	Ambos sexos	1 de enero de 1981	593.884,473283
22 años	Ambos sexos	1 de julio de 1980	588.017,192429
22 años	Ambos sexos	1 de enero de 1980	582.166,834132
22 años	Ambos sexos	1 de julio de 1979	563.922,57131
22 años	Ambos sexos	1 de enero de 1979	545.847,57108
22 años	Ambos sexos	1 de julio de 1978	541.664,626946
22 años	Ambos sexos	1 de enero de 1978	537.968,865873
22 años	Ambos sexos	1 de julio de 1977	528.642,483927
22 años	Ambos sexos	1 de enero de 1977	519.323,926414
22 años	Ambos sexos	1 de julio de 1976	522.335,933089
22 años	Ambos sexos	1 de enero de 1976	525.642,343897
22 años	Ambos sexos	1 de julio de 1975	530.614,262786
22 años	Ambos sexos	1 de enero de 1975	535.724,990874
22 años	Ambos sexos	1 de julio de 1974	519.546,18014
22 años	Ambos sexos	1 de enero de 1974	502.666,643835
22 años	Ambos sexos	1 de julio de 1973	505.890,197885
22 años	Ambos sexos	1 de enero de 1973	509.489,879594
22 años	Ambos sexos	1 de julio de 1972	511.873,806989
22 años	Ambos sexos	1 de enero de 1972	513.590,072549
22 años	Ambos sexos	1 de julio de 1971	529.659,868475
22 años	Ambos sexos	1 de enero de 1971	545.463,62
22 años	Hombres	1 de julio de 2022	256.177,742653
22 años	Hombres	1 de enero de 2022	249.504,772554
22 años	Hombres	1 de julio de 2021	245.420,632728
22 años	Hombres	1 de enero de 2021	242.735,492949
22 años	Hombres	1 de julio de 2020	241.922,596125
22 años	Hombres	1 de enero de 2020	240.557,699211
22 años	Hombres	1 de julio de 2019	236.155,583209
22 años	Hombres	1 de enero de 2019	232.109,46725
22 años	Hombres	1 de julio de 2018	229.283,694371
22 años	Hombres	1 de enero de 2018	227.577,921543
22 años	Hombres	1 de julio de 2017	226.707,21168
22 años	Hombres	1 de enero de 2017	226.907,501855
22 años	Hombres	1 de julio de 2016	229.963,49042
22 años	Hombres	1 de enero de 2016	233.585,159204
22 años	Hombres	1 de julio de 2015	236.750,946226
22 años	Hombres	1 de enero de 2015	240.292,901263
22 años	Hombres	1 de julio de 2014	240.112,613632
22 años	Hombres	1 de enero de 2014	240.541,349136
22 años	Hombres	1 de julio de 2013	242.891,770663
22 años	Hombres	1 de enero de 2013	245.741,534676
22 años	Hombres	1 de julio de 2012	249.686,217702
22 años	Hombres	1 de enero de 2012	253.726,2738
22 años	Hombres	1 de julio de 2011	256.983,353885
22 años	Hombres	1 de enero de 2011	260.304,991837
22 años	Hombres	1 de julio de 2010	263.829,045789
22 años	Hombres	1 de enero de 2010	267.949,384119
22 años	Hombres	1 de julio de 2009	273.011,614845
22 años	Hombres	1 de enero de 2009	277.815,027212
22 años	Hombres	1 de julio de 2008	283.253,001276
22 años	Hombres	1 de enero de 2008	286.804,970584
22 años	Hombres	1 de julio de 2007	288.523,209073
22 años	Hombres	1 de enero de 2007	289.033,808854
22 años	Hombres	1 de julio de 2006	290.517,198221
22 años	Hombres	1 de enero de 2006	293.112,306205
22 años	Hombres	1 de julio de 2005	300.644,517047
22 años	Hombres	1 de enero de 2005	305.661,433194
22 años	Hombres	1 de julio de 2004	308.353,591854
22 años	Hombres	1 de enero de 2004	314.047,323187
22 años	Hombres	1 de julio de 2003	319.041,55003
22 años	Hombres	1 de enero de 2003	323.424,806842
22 años	Hombres	1 de julio de 2002	324.848,809528
22 años	Hombres	1 de enero de 2002	325.423,144445
22 años	Hombres	1 de julio de 2001	332.140,1875
22 años	Hombres	1 de enero de 2001	341.382,609375
22 años	Hombres	1 de julio de 2000	344.356,8125
22 años	Hombres	1 de enero de 2000	347.242,09375
22 años	Hombres	1 de julio de 1999	351.540,75
22 años	Hombres	1 de enero de 1999	355.913,96875
22 años	Hombres	1 de julio de 1998	355.899,46875
22 años	Hombres	1 de enero de 1998	355.957,796875
22 años	Hombres	1 de julio de 1997	353.779,53125
22 años	Hombres	1 de enero de 1997	351.539,265625
22 años	Hombres	1 de julio de 1996	348.403,5
22 años	Hombres	1 de enero de 1996	345.361,140625
22 años	Hombres	1 de julio de 1995	345.812,421875
22 años	Hombres	1 de enero de 1995	346.442,09375
22 años	Hombres	1 de julio de 1994	343.692,71875
22 años	Hombres	1 de enero de 1994	340.956,015625
22 años	Hombres	1 de julio de 1993	338.629,921875
22 años	Hombres	1 de enero de 1993	336.291,8125
22 años	Hombres	1 de julio de 1992	333.532,3125
22 años	Hombres	1 de enero de 1992	330.706,953125
22 años	Hombres	1 de julio de 1991	329.134,09375
22 años	Hombres	1 de enero de 1991	327.842,823475
22 años	Hombres	1 de julio de 1990	330.232,573483
22 años	Hombres	1 de enero de 1990	332.864,242845
22 años	Hombres	1 de julio de 1989	331.749,13904
22 años	Hombres	1 de enero de 1989	330.995,939085
22 años	Hombres	1 de julio de 1988	331.097,284853
22 años	Hombres	1 de enero de 1988	331.018,462675
22 años	Hombres	1 de julio de 1987	334.000,300139
22 años	Hombres	1 de enero de 1987	337.038,377169
22 años	Hombres	1 de julio de 1986	331.528,677207
22 años	Hombres	1 de enero de 1986	325.995,463273
22 años	Hombres	1 de julio de 1985	321.067,19541
22 años	Hombres	1 de enero de 1985	316.146,759465
22 años	Hombres	1 de julio de 1984	313.356,503866
22 años	Hombres	1 de enero de 1984	310.376,607448
22 años	Hombres	1 de julio de 1983	308.200,370867
22 años	Hombres	1 de enero de 1983	305.358,945727
22 años	Hombres	1 de julio de 1982	302.797,385039
22 años	Hombres	1 de enero de 1982	300.356,103443
22 años	Hombres	1 de julio de 1981	300.673,233048
22 años	Hombres	1 de enero de 1981	301.215,4381
22 años	Hombres	1 de julio de 1980	298.154,002832
22 años	Hombres	1 de enero de 1980	295.018,698597
22 años	Hombres	1 de julio de 1979	285.368,12192
22 años	Hombres	1 de enero de 1979	275.838,948944
22 años	Hombres	1 de julio de 1978	273.828,00559
22 años	Hombres	1 de enero de 1978	271.981,725256
22 años	Hombres	1 de julio de 1977	266.353,527957
22 años	Hombres	1 de enero de 1977	260.720,72237
22 años	Hombres	1 de julio de 1976	263.216,219603
22 años	Hombres	1 de enero de 1976	265.728,667802
22 años	Hombres	1 de julio de 1975	268.411,972369
22 años	Hombres	1 de enero de 1975	271.276,945267
22 años	Hombres	1 de julio de 1974	263.384,658316
22 años	Hombres	1 de enero de 1974	255.147,311175
22 años	Hombres	1 de julio de 1973	256.462,214837
22 años	Hombres	1 de enero de 1973	257.984,320355
22 años	Hombres	1 de julio de 1972	258.309,659764
22 años	Hombres	1 de enero de 1972	258.237,412821
22 años	Hombres	1 de julio de 1971	266.508,059174
22 años	Hombres	1 de enero de 1971	274.709,8
22 años	Mujeres	1 de julio de 2022	240.207,884776
22 años	Mujeres	1 de enero de 2022	236.332,192799
22 años	Mujeres	1 de julio de 2021	231.082,439139
22 años	Mujeres	1 de enero de 2021	228.078,685362
22 años	Mujeres	1 de julio de 2020	229.420,165871
22 años	Mujeres	1 de enero de 2020	230.531,646292
22 años	Mujeres	1 de julio de 2019	226.805,569925
22 años	Mujeres	1 de enero de 2019	224.022,493699
22 años	Mujeres	1 de julio de 2018	220.256,168465
22 años	Mujeres	1 de enero de 2018	217.671,843177
22 años	Mujeres	1 de julio de 2017	216.697,541151
22 años	Mujeres	1 de enero de 2017	217.094,239079
22 años	Mujeres	1 de julio de 2016	220.200,022044
22 años	Mujeres	1 de enero de 2016	224.229,489138
22 años	Mujeres	1 de julio de 2015	227.725,795713
22 años	Mujeres	1 de enero de 2015	231.882,477272
22 años	Mujeres	1 de julio de 2014	231.166,133014
